FWII,Edward,Shoes,17500,https://www.loake.co.uk/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/1/8/1880_edward_tan_single_ret.jpg,Loake Shoe Maker,WestIndies,250
FWIII,Worton,Shoes,17150,https://www.loake.co.uk/media/catalog/product/cache/ecd051e9670bd57df35c8f0b122d8aea/1/8/1880_worton_blk.jpg,"Brogue derby shoe, available in black calf leather. Worton uses the 'Pennine' last shape in a wide G fitting, and is made in England",England,230
FWIV,Mamba,Shoes,12950,https://www.loake.co.uk/media/catalog/product/cache/ecd051e9670bd57df35c8f0b122d8aea/d/e/design_mamba_tan_suede_single_web_ret_20web.jpg,"Derby brogue boot made using our 'Viper' Goodyear welted rubber sole. Mamba is available in brown suede leather, and tan calf leather, and is made in India.",India,420
FWV,Plymouth,Shoes,8050,https://www.loake.co.uk/media/catalog/product/cache/ecd051e9670bd57df35c8f0b122d8aea/l/i/lifestyle_plymouth_brown_waxy_single.jpg,"Slip on boat shoe, featuring a Moccasin rubber sole. Plymouth has a waxy leather upper and is made in the EU.",EU,820
FWVI,Waxy,Shoes,8050,https://www.loake.co.uk/media/catalog/product/cache/ecd051e9670bd57df35c8f0b122d8aea/5/2/522_2.jpg,"Waxy heavy deck shoe, made in the EU.",EU,315
FWVII,KALENJI,Shoes,799,https://contents.mediadecathlon.com/p207660/k$0086093eb130f6609f464657af1e1e27/run-one-men-s-running-shoes-grey.jpg?&f=800x800,Shoe weight : 180 g in size 9 Runner's weight : Up to 75 kg,US,999
FWVIII,Sparx sport,Shoes,756,https://images-na.ssl-images-amazon.com/images/I/813FKcnOPZL._UL1500_.jpg,Blue and Fluorescent Green,India,1399
FWIX,Nike Adapt BB shoes,Shoes,24500,https://images.livemint.com/rf/Image-621x414/LiveMint/Period2/2019/01/17/Photos/Processed/Nike-kDbE--621x414@LiveMint.jpg, Shoes are controlled by the touch of a button or a smartphone app,United States,1950
FWX,Nike Air Presto U.S.A.,Shoes,2599,https://n2.sdlcdn.com/imgs/i/f/l/Nike-White-Running-Shoes-SDL872897738-1-144ce.jpg,Air pressor releave,United States,400
FWXI,Maka PURETEX Boots JR,Shoes,7350,https://images.puma.net/images/192911/03/fnd/PNA/w/600/h/600/,Color Vineyard Wine -Calypso Coral,China,640
FWXII,PUMA ONE 5.3 FG/AG Soccer Cleats JR,Shoes,4200,https://images.puma.net/images/105657/01/fnd/PNA/w/600/h/600/,Color Black-Nrgy Red-Aged Silver,India,567
FWXIII,PUMA ONE 19.1 FG/AG Soccer Cleats JR,Shoes,10500,https://images.puma.net/images/105497/02/sv01/fnd/PNA/w/600/h/600/,Color Green Gecko-Black-Gray,Pakistan,463
FWXIV,"HUSH PUPPIES
Brown Casual Shoes For Men",Shoes,4499,https://img2.bata.in/0/images/product/854-3818_700x650_2.jpeg,Smooth Leather,India,7658
FWXV,Brown Sandals For Men,Shoes,1299,https://img2.bata.in/0/images/product/861-3042_700x650_2.jpeg,Have a comfortable and stylish office day when you team these leather sandals with your daily formal wear.,China,453
